Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Marche,125,101.837,4.530,299,225,5%,186,12,-410%,39,258,-250%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Molise,3,13.547,223,74,20,9%,15,5,-630%,5,166,000%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
P.A. Bolzano,43,72.539,862,162,18,2%,14,3,-670%,4,075,-3330%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
P.A. Trento,24,45.126,611,112,45,7%,32,6,-590%,13,238,-710%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Piemonte,400,358.188,8.209,190,998,12%,893,21,-480%,105,244,-090%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Puglia,399,248.484,32.794,830,963,3%,863,22,-290%,100,253,-200%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Sardegna,35,56.409,13.484,837,216,2%,184,11,-110%,32,199,-860%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Sicilia,350,222.654,13.267,272,766,6%,662,14,-250%,104,213,510%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Toscana,358,239.092,11.552,313,796,7%,652,18,-540%,144,390,-270%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Umbria,36,56.061,2.030,233,92,5%,80,9,-1010%,12,138,000%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Valle d'Aosta,28,11.484,315,252,18,6%,18,14,-1820%,0,000,000%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Veneto,234,421.791,11.296,232,509,5%,437,9,-420%,72,148,140%,Dati della Protezione Civile del 22 Maggio 2021 ore 20:30,2021-05-22
Abruzzo,68,73.689,5.967,461,195,3%,178,14,-060%,17,131,000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Basilicata,38,26.015,4.511,815,88,2%,82,15,-240%,6,108,2000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Calabria,165,65.881,11.207,592,313,3%,285,15,-310%,28,148,1670%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Campania,628,415.965,72.038,1.261,1.052,1%,967,17,-440%,85,149,370%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Emilia-Romagna,299,382.073,19.082,427,888,5%,766,17,-320%,122,273,-320%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Friuli Venezia Giulia,31,106.768,5.242,435,66,1%,57,5,1400%,9,075,-1000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Lazio,413,339.612,27.629,480,1.449,5%,1.255,22,-220%,194,337,-050%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Liguria,58,102.297,1.927,126,233,12%,190,12,-210%,43,282,000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Lombardia,711,831.087,35.621,355,1.774,5%,1.480,15,-550%,294,293,-130%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Marche,107,101.944,4.508,298,212,5%,176,12,-540%,36,238,-770%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Molise,3,13.550,202,67,20,10%,15,5,000%,5,166,000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
P.A. Bolzano,49,72.588,838,157,17,2%,13,2,-710%,4,075,000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
P.A. Trento,52,45.178,600,110,48,8%,35,6,940%,13,238,000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Piemonte,271,358.459,7.928,184,969,12%,861,20,-360%,108,251,290%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Puglia,274,248.758,32.729,828,933,3%,838,21,-290%,95,240,-500%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Sardegna,20,56.429,13.424,833,215,2%,182,11,-110%,33,205,310%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Sicilia,238,222.892,12.928,265,720,6%,618,13,-660%,102,209,-190%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Toscana,382,239.474,11.299,306,760,7%,625,17,-410%,135,366,-630%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Umbria,40,56.101,1.967,226,91,5%,78,9,-250%,13,149,830%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Valle d'Aosta,15,11.499,295,236,16,5%,16,13,-1110%,0,000,000%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Veneto,133,421.924,11.150,229,512,5%,444,9,160%,68,139,-560%,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50,2021-05-23
Abruzzo,15,73.704,5.908,457,200,3%,183,14,280%,17,131,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Basilicata,4,26.019,4.408,797,84,2%,78,14,-490%,6,108,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Calabria,70,65.951,10.894,575,312,3%,283,15,-070%,29,153,360%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Campania,401,416.366,71.270,1.248,999,1%,916,16,-530%,83,145,-240%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Emilia-Romagna,315,382.387,18.521,415,886,5%,763,17,-040%,123,276,080%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Friuli Venezia Giulia,2,106.770,5.233,434,67,1%,58,5,180%,9,075,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Lazio,292,339.904,26.647,463,1.413,5%,1.219,21,-290%,194,337,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Liguria,61,102.358,1.807,119,224,12%,184,12,-320%,40,262,-700%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Lombardia,249,831.336,35.640,355,1.757,5%,1.473,15,-050%,284,283,-340%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Marche,58,102.002,4.501,298,205,5%,169,11,-400%,36,238,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Molise,1,13.551,197,66,20,10%,15,5,000%,5,166,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
P.A. Bolzano,17,72.605,810,152,19,2%,15,3,1540%,4,075,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
P.A. Trento,20,45.198,598,110,51,9%,36,7,290%,15,275,1540%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Piemonte,106,358.565,7.662,178,933,12%,832,19,-340%,101,234,-650%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Puglia,71,248.829,31.769,804,903,3%,808,20,-360%,95,240,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Sardegna,20,56.449,13.323,827,213,2%,184,11,110%,29,180,-1210%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Sicilia,378,223.270,13.016,267,699,5%,601,12,-280%,98,201,-390%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Toscana,245,239.719,10.949,297,741,7%,608,16,-270%,133,360,-150%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Umbria,10,56.111,1.946,224,94,5%,81,9,380%,13,149,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Valle d'Aosta,5,11.504,285,228,15,5%,15,12,-630%,0,000,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Veneto,150,422.074,11.055,227,497,4%,429,9,-340%,68,139,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51,2021-05-24
Abruzzo,40,73.744,5.824,450,193,3%,176,14,-380%,17,131,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Basilicata,50,26.069,4.326,782,86,2%,81,15,380%,5,090,-1670%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Calabria,113,66.064,10.598,560,303,3%,281,15,-070%,22,116,-2410%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Campania,410,416.776,70.423,1.233,942,1%,861,15,-600%,81,142,-240%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Emilia-Romagna,161,382.544,17.822,399,846,5%,730,16,-430%,116,260,-570%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Friuli Venezia Giulia,34,106.804,5.137,426,65,1%,56,5,-340%,9,075,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Lazio,308,340.212,25.151,437,1.361,5%,1.176,20,-350%,185,321,-460%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Liguria,47,102.405,1.558,102,205,13%,164,11,-1090%,41,269,250%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Lombardia,505,831.841,34.578,345,1.725,5%,1.453,14,-140%,272,271,-420%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Marche,77,102.079,4.472,296,187,4%,151,10,-1070%,36,238,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Molise,1,13.552,183,61,19,10%,15,5,000%,4,133,-2000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
P.A. Bolzano,16,72.621,736,138,19,3%,15,3,000%,4,075,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
P.A. Trento,24,45.222,587,108,47,8%,33,6,-830%,14,257,-670%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Piemonte,274,358.839,7.201,167,902,13%,808,19,-290%,94,218,-690%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Puglia,314,249.143,30.633,775,847,3%,759,19,-610%,88,223,-740%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Sardegna,28,56.477,13.181,818,196,1%,167,10,-920%,29,180,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Sicilia,372,223.642,12.604,259,668,5%,575,12,-430%,93,191,-510%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Toscana,215,239.934,10.426,282,702,7%,568,15,-660%,134,363,080%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Umbria,55,56.166,1.916,220,90,5%,77,9,-490%,13,149,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Valle d'Aosta,21,11.525,258,206,11,4%,11,9,-2670%,0,000,000%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Veneto,159,422.233,10.531,216,466,4%,400,8,-680%,66,135,-290%,Dati della Protezione Civile del 25 Maggio 2021 ore 18:04,2021-05-25
Abruzzo,64,73.874,5.619,434,178,3%,161,12,-580%,17,131,630%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Basilicata,53,26.188,4.122,745,74,2%,70,13,-670%,4,072,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Calabria,185,66.454,10.388,548,293,3%,274,14,000%,19,100,-950%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Campania,533,417.792,68.861,1.206,855,1%,782,14,-610%,73,128,-990%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Emilia-Romagna,263,383.025,17.357,389,733,4%,622,14,-970%,111,249,180%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Friuli Venezia Giulia,33,106.867,5.014,416,49,1%,41,3,-1090%,8,066,-2000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Lazio,361,340.891,22.746,395,1.226,5%,1.061,18,-410%,165,287,-680%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Liguria,49,102.528,1.310,86,178,14%,142,9,-960%,36,236,-770%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Lombardia,739,833.246,32.740,326,1.559,5%,1.299,13,-510%,260,259,-480%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Marche,154,102.365,4.303,284,166,4%,132,9,-570%,34,225,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Molise,11,13.572,162,54,15,9%,11,4,000%,4,133,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
P.A. Bolzano,67,72.754,758,142,24,3%,20,4,2500%,4,075,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
P.A. Trento,46,45.313,516,95,41,8%,28,5,-340%,13,238,-710%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Piemonte,298,359.487,6.333,147,855,14%,765,18,-080%,90,209,-720%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Puglia,288,249.668,27.885,705,767,3%,686,17,-550%,81,205,-240%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Sardegna,28,56.539,12.949,803,173,1%,155,10,-830%,18,112,-1430%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Sicilia,383,224.400,11.340,233,616,5%,535,11,-330%,81,166,-580%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Toscana,319,240.511,9.483,257,618,7%,499,14,-580%,119,322,-850%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Umbria,24,56.225,1.695,195,89,5%,79,9,130%,10,115,-910%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Valle d'Aosta,7,11.541,235,188,9,4%,9,7,-2500%,0,000,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Veneto,242,422.730,9.377,192,395,4%,336,7,-740%,59,121,-780%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38,2021-05-27
Abruzzo,43,73.917,5.504,425,163,3%,146,11,-930%,17,131,000%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Basilicata,57,26.245,4.071,736,72,2%,69,12,-140%,3,054,-2500%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Calabria,105,66.559,10.074,532,278,3%,260,14,-510%,18,095,-530%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Campania,477,418.269,68.065,1.192,830,1%,761,13,-270%,69,121,-550%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Emilia-Romagna,258,383.282,16.390,367,669,4%,560,13,-1000%,109,244,-180%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Friuli Venezia Giulia,21,106.888,4.952,411,47,1%,41,3,000%,6,050,-2500%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Lazio,296,341.187,21.759,378,1.170,5%,1.011,18,-470%,159,276,-360%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Liguria,67,102.595,1.269,83,163,13%,126,8,-1130%,37,243,280%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Lombardia,661,833.907,32.520,324,1.481,5%,1.233,12,-510%,248,247,-460%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Marche,103,102.468,4.225,279,158,4%,128,8,-300%,30,198,-1180%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Molise,5,13.577,157,52,15,10%,11,4,000%,4,133,000%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
P.A. Bolzano,49,72.803,729,137,21,3%,17,3,-1500%,4,075,000%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
P.A. Trento,40,45.353,518,95,36,7%,22,4,-2140%,14,257,770%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Piemonte,279,359.766,5.873,136,739,13%,653,15,-1460%,86,199,-440%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Puglia,250,249.918,26.629,674,722,3%,648,16,-550%,74,187,-860%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Sardegna,52,56.591,12.863,798,166,1%,150,9,-320%,16,099,-1110%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Sicilia,418,224.818,10.615,218,585,6%,512,11,-430%,73,150,-990%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Toscana,301,240.812,9.131,247,565,6%,455,12,-880%,110,298,-760%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Umbria,63,56.288,1.663,191,81,5%,73,8,-760%,8,092,-2000%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Valle d'Aosta,4,11.545,220,176,8,4%,8,6,-1110%,0,000,000%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Veneto,189,422.919,9.043,185,365,4%,308,6,-830%,57,117,-340%,Dati della Protezione Civile del 28 Maggio 2021 ore 17:44,2021-05-28
Abruzzo,55,73.972,5.509,426,151,3%,136,11,-680%,15,116,-1180%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Basilicata,46,26.291,3.846,695,63,2%,60,11,-1300%,3,054,000%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Calabria,177,66.736,10.122,534,268,3%,250,13,-380%,18,095,000%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Campania,331,418.600,67.844,1.188,812,1%,749,13,-160%,63,110,-870%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Emilia-Romagna,224,383.503,16.063,360,636,4%,532,12,-500%,104,233,-460%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Friuli Venezia Giulia,76,106.964,4.933,409,43,1%,38,3,-730%,5,041,-1670%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Lazio,307,341.494,20.796,361,1.088,5%,933,16,-770%,155,269,-250%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Liguria,82,102.677,1.214,80,150,12%,117,8,-710%,33,216,-1080%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Lombardia,620,834.527,32.375,323,1.374,4%,1.131,11,-830%,243,242,-200%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Marche,83,102.551,4.092,271,150,4%,120,8,-630%,30,198,000%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Molise,2,13.579,146,49,14,10%,10,3,-910%,4,133,000%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
P.A. Bolzano,41,72.844,701,132,17,2%,14,3,-1760%,3,056,-2500%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
P.A. Trento,36,45.389,529,97,34,6%,20,4,-910%,14,257,000%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Piemonte,149,359.915,5.585,130,712,13%,628,15,-380%,84,195,-230%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Puglia,269,250.187,26.223,663,671,3%,606,15,-650%,65,164,-1220%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Sardegna,22,56.613,12.803,794,159,1%,145,9,-330%,14,087,-1250%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Sicilia,385,225.203,9.988,205,574,6%,502,10,-200%,72,148,-140%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Toscana,200,241.012,8.618,233,557,6%,443,12,-260%,114,309,360%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Umbria,26,56.314,1.591,183,74,5%,68,8,-680%,6,069,-2500%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Valle d'Aosta,22,11.567,227,182,6,3%,6,5,-2500%,0,000,000%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Veneto,198,423.117,8.761,180,342,4%,292,6,-520%,50,102,-1230%,Dati della Protezione Civile del 29 Maggio 2021 ore 18:52,2021-05-29
Abruzzo,54,74.025,5.559,430,147,3%,133,10,-220%,14,108,-670%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Basilicata,19,26.310,3.800,687,59,2%,57,10,-500%,2,036,-3330%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Calabria,139,66.875,9.999,528,260,3%,243,13,-280%,17,090,-560%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Campania,385,418.985,67.354,1.179,794,1%,733,13,-210%,61,107,-320%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Emilia-Romagna,190,383.693,15.762,353,620,4%,521,12,-210%,99,222,-480%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Friuli Venezia Giulia,34,106.998,4.916,408,41,1%,36,3,-530%,5,041,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Lazio,278,341.772,19.815,344,1.065,5%,913,16,-210%,152,264,-190%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Liguria,41,102.718,1.176,77,152,13%,121,8,340%,31,203,-610%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Lombardia,458,834.985,32.063,320,1.322,4%,1.076,11,-490%,246,245,120%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Marche,81,102.632,3.936,260,141,4%,113,7,-580%,28,185,-670%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Molise,7,13.586,138,46,11,8%,9,3,-1000%,2,067,-5000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
P.A. Bolzano,42,72.886,686,129,19,3%,16,3,1430%,3,056,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
P.A. Trento,28,45.417,480,88,33,7%,20,4,000%,13,238,-710%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Piemonte,233,360.148,5.379,125,705,13%,625,14,-050%,80,186,-480%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Puglia,90,250.277,25.683,650,635,2%,572,14,-560%,63,159,-310%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Sardegna,30,56.643,12.784,793,155,1%,141,9,-280%,14,087,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Sicilia,348,225.551,9.883,203,549,6%,484,10,-360%,65,133,-970%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Toscana,263,241.275,8.387,227,532,6%,422,11,-470%,110,298,-350%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Umbria,63,56.377,1.558,179,68,4%,62,7,-880%,6,069,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Valle d'Aosta,16,11.583,228,182,7,3%,6,5,000%,1,080,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Veneto,150,423.267,8.710,179,337,4%,288,6,-140%,49,100,-200%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16,2021-05-30
Abruzzo,15,74.040,5.493,425,150,3%,137,11,300%,13,100,-710%,Dati della Protezione Civile del 31 Maggio 2021 ore 17:38,2021-05-31
Basilicata,6,26.316,3.769,681,58,2%,57,10,000%,1,018,-5000%,Dati della Protezione Civile del 31 Maggio 2021 ore 17:38,2021-05-31
Calabria,57,66.932,9.738,514,257,3%,240,13,-120%,17,090,000%,Dati della Protezione Civile del 31 Maggio 2021 ore 17:38,2021-05-31
